packet_size,packet_rate,protocol,label
100,15,4,icmp_flood
87,78,4,icmp_flood
2950,201,2,dos
109,36,4,icmp_flood
125,52,3,scan
44,41,3,scan
4053,211,2,dos
4364,287,2,dos
194,88,3,scan
156,47,3,scan
80,93,1,scan
3521,260,2,dos
164,90,3,scan
168,80,3,scan
84,10,2,normal
170,27,1,normal
923,41,1,normal
2205,137,3,dos
256,16,3,normal
55,54,3,scan
2046,199,2,dos
104,10,4,icmp_flood
256,3,3,normal
3507,296,1,dos
55,69,1,scan
215,8,2,normal
872,40,3,normal
3598,130,3,dos
3506,186,2,dos
668,16,3,normal
4071,275,2,dos
158,20,1,normal
103,15,4,icmp_flood
74,10,4,icmp_flood
844,44,3,normal
136,51,3,scan
897,34,1,normal
138,91,2,scan
3174,224,1,dos
4776,163,2,dos
169,95,3,scan
175,54,3,scan
1962,220,2,dos
4126,127,2,dos
2447,288,2,dos
1631,163,1,dos
75,27,4,icmp_flood
3441,300,1,dos
4521,268,3,dos
1200,9,3,normal
1011,24,2,normal
2889,144,1,dos
80,79,1,scan
107,59,4,icmp_flood
833,29,2,normal
2557,205,1,dos
1822,238,3,dos
194,17,3,normal
3217,202,3,dos
198,17,2,normal
2519,105,2,dos
4664,6,2,normal
58,54,2,scan
161,82,2,scan
50,72,2,scan
571,46,1,normal
691,9,2,normal
115,74,4,icmp_flood
1544,236,1,dos
2185,218,1,dos
116,57,4,icmp_flood
102,61,4,icmp_flood
111,100,2,scan
93,30,4,icmp_flood
68,42,3,scan
758,2,1,normal
101,67,4,icmp_flood
280,9,1,normal
129,72,3,scan
97,78,1,scan
118,68,4,icmp_flood
128,90,1,scan
110,27,4,icmp_flood
79,42,4,icmp_flood
777,32,2,normal
4102,216,3,dos
67,5,1,normal
1170,37,1,normal
102,58,2,scan
4635,230,1,dos
4567,131,3,dos
86,12,4,icmp_flood
107,31,4,icmp_flood
108,56,4,icmp_flood
112,44,4,icmp_flood
43,40,2,scan
107,16,4,icmp_flood
938,23,1,normal
3611,8,2,normal
3212,31,1,normal
2263,41,3,normal
2115,300,1,dos
452,15,1,normal
3190,198,1,dos
2464,102,2,dos
1732,269,2,dos
2305,278,1,dos
106,21,2,normal
3342,174,3,dos
100,41,4,icmp_flood
150,77,2,scan
2467,238,3,dos
3172,221,3,dos
4961,120,2,dos
173,70,1,scan
116,26,4,icmp_flood
98,22,4,icmp_flood
1123,16,3,normal
117,22,4,icmp_flood
57,40,3,scan
370,6,3,normal
333,48,1,normal
2705,12,1,normal
2636,218,2,dos
4904,220,2,dos
3283,128,2,dos
120,22,4,icmp_flood
95,51,4,icmp_flood
4322,203,1,dos
393,46,1,normal
1869,282,1,dos
117,38,4,icmp_flood
96,10,4,icmp_flood
1547,22,2,normal
86,79,4,icmp_flood
127,53,2,scan
3882,274,2,dos
2930,52,1,normal
105,66,4,icmp_flood
118,78,4,icmp_flood
98,46,2,scan
183,43,3,scan
82,12,4,icmp_flood
798,22,2,normal
255,16,3,normal
1474,101,2,dos
60,29,2,normal
145,73,1,scan
4003,60,2,normal
3336,200,3,dos
4845,29,3,normal
1001,32,2,normal
660,15,3,normal
125,80,3,scan
4481,154,1,dos
4760,270,2,dos
99,59,3,scan
127,87,2,scan
1154,24,3,normal
4688,140,2,dos
259,7,3,normal
4874,200,2,dos
257,16,3,normal
4476,245,3,dos
4091,173,1,dos
105,55,4,icmp_flood
113,47,1,scan
110,63,4,icmp_flood
100,29,4,icmp_flood
102,53,2,scan
157,91,1,scan
84,72,3,scan
3144,202,3,dos
117,66,4,icmp_flood
111,48,4,icmp_flood
148,89,2,scan
74,29,4,icmp_flood
116,33,4,icmp_flood
226,26,3,normal
106,16,4,icmp_flood
109,40,4,icmp_flood
2735,15,1,normal
85,10,4,icmp_flood
301,34,3,normal
231,5,3,normal
158,61,2,scan
48,100,1,scan
764,33,3,normal
2448,221,3,dos
3434,227,2,dos
134,15,3,normal
1223,199,3,dos
236,10,3,normal
165,63,3,scan
2408,166,3,dos
3296,26,1,normal
789,35,1,normal
106,45,4,icmp_flood
3417,285,2,dos
61,14,1,normal
835,27,1,normal
93,24,4,icmp_flood
490,13,3,normal
2871,266,2,dos
3335,173,2,dos
3519,43,2,normal
57,100,3,scan
149,9,2,normal
1936,208,1,dos
73,26,1,normal
120,22,4,icmp_flood
253,20,3,normal
1044,37,2,normal
158,40,2,scan
2511,118,3,dos
104,31,4,icmp_flood
93,23,4,icmp_flood
105,22,2,normal
53,59,3,scan
179,62,2,scan
130,51,3,scan
4784,174,3,dos
4108,185,3,dos
3195,135,3,dos
117,69,4,icmp_flood
1104,31,1,normal
113,56,4,icmp_flood
180,71,2,scan
321,45,2,normal
139,98,3,scan
4477,110,2,dos
3891,285,1,dos
2472,185,1,dos
87,76,4,icmp_flood
165,73,2,scan
4624,167,1,dos
885,31,2,normal
88,13,4,icmp_flood
3655,246,3,dos
1535,6,1,normal
3498,228,2,dos
810,33,2,normal
144,95,3,scan
54,63,3,scan
80,50,4,icmp_flood
2271,241,1,dos
2170,20,1,normal
4054,242,1,dos
4315,35,1,normal
91,24,4,icmp_flood
119,48,4,icmp_flood
112,83,3,scan
118,39,4,icmp_flood
934,39,2,normal
43,96,3,scan
106,47,4,icmp_flood
1331,39,1,normal
824,31,3,normal
2373,172,3,dos
1359,127,1,dos
1216,34,3,normal
90,54,4,icmp_flood
2943,279,1,dos
2224,144,1,dos
2658,258,2,dos
3927,115,2,dos
2797,276,3,dos
3808,158,1,dos
1423,195,3,dos
88,67,2,scan
263,21,2,normal
115,31,4,icmp_flood
3550,242,1,dos
114,27,4,icmp_flood
89,47,3,scan
80,66,4,icmp_flood
60,94,2,scan
99,24,4,icmp_flood
182,19,2,normal
268,2,2,normal
190,3,2,normal
70,62,3,scan
105,63,4,icmp_flood
122,75,2,scan
88,55,4,icmp_flood
4291,140,1,dos
110,17,3,normal
1749,124,3,dos
117,23,4,icmp_flood
4895,225,1,dos
93,51,4,icmp_flood
3538,39,2,normal
115,11,4,icmp_flood
100,22,4,icmp_flood
1002,40,2,normal
2408,128,3,dos
1550,163,3,dos
2131,261,1,dos
101,64,4,icmp_flood
199,58,2,scan
77,48,1,scan
95,50,4,icmp_flood
4107,172,3,dos
1224,218,3,dos
2254,104,3,dos
127,93,1,scan
171,80,1,scan
103,42,2,scan
4399,277,3,dos
1203,268,1,dos
76,69,2,scan
3085,193,1,dos
132,61,3,scan
2570,150,2,dos
2843,292,2,dos
3017,48,2,normal
106,73,2,scan
556,20,3,normal
288,7,1,normal
2713,107,3,dos
3864,184,1,dos
91,11,1,normal
155,74,2,scan
93,27,4,icmp_flood
1106,42,3,normal
619,44,2,normal
116,19,4,icmp_flood
99,45,3,scan
139,58,3,scan
3121,139,1,dos
58,18,3,normal
117,80,4,icmp_flood
118,85,2,scan
117,100,2,scan
76,69,2,scan
153,81,2,scan
46,19,2,normal
253,5,1,normal
100,62,4,icmp_flood
3569,124,1,dos
152,58,1,scan
112,67,4,icmp_flood
141,73,2,scan
115,75,4,icmp_flood
126,86,2,scan
75,2,3,normal
210,25,2,normal
85,23,4,icmp_flood
836,20,2,normal
102,28,3,normal
962,27,1,normal
92,40,4,icmp_flood
109,61,4,icmp_flood
139,88,3,scan
3542,160,1,dos
193,28,1,normal
112,65,4,icmp_flood
2595,147,3,dos
109,28,4,icmp_flood
109,58,4,icmp_flood
112,45,4,icmp_flood
2248,175,2,dos
1537,110,3,dos
103,21,3,normal
644,32,3,normal
140,77,3,scan
198,75,2,scan
139,87,2,scan
85,14,4,icmp_flood
102,29,4,icmp_flood
1932,50,3,normal
64,28,1,normal
4914,52,3,normal
104,61,4,icmp_flood
83,33,4,icmp_flood
101,45,1,scan
183,9,2,normal
1445,230,1,dos
147,44,2,scan
3835,43,2,normal
1006,13,3,normal
277,23,2,normal
2860,12,2,normal
79,43,4,icmp_flood
91,44,4,icmp_flood
91,67,4,icmp_flood
681,30,3,normal
3052,282,1,dos
3063,222,1,dos
150,68,1,scan
730,29,3,normal
48,41,1,scan
120,8,3,normal
173,64,2,scan
2707,289,1,dos
87,47,1,scan
4184,255,3,dos
86,26,4,icmp_flood
172,95,3,scan
82,79,4,icmp_flood
59,63,3,scan
2518,134,3,dos
553,7,2,normal
43,13,3,normal
82,4,2,normal
4892,148,3,dos
89,27,2,normal
3876,280,2,dos
82,58,4,icmp_flood
97,48,1,scan
166,64,1,scan
99,48,4,icmp_flood
714,5,1,normal
862,5,2,normal
114,51,2,scan
109,68,4,icmp_flood
168,48,2,scan
2459,206,3,dos
4621,158,3,dos
101,21,4,icmp_flood
4196,284,3,dos
3712,245,1,dos
3283,194,3,dos
1861,117,2,dos
166,60,2,scan
83,35,4,icmp_flood
92,10,4,icmp_flood
1202,173,2,dos
145,98,2,scan
1507,167,2,dos
487,49,1,normal
190,64,2,scan
40,17,1,normal
4638,24,3,normal
169,46,3,scan
116,30,4,icmp_flood
386,20,3,normal
76,91,3,scan
1920,60,1,normal
94,20,4,icmp_flood
1196,30,3,normal
104,27,4,icmp_flood
4853,21,3,normal
46,65,3,scan
183,50,1,scan
117,16,4,icmp_flood
201,14,1,normal
4642,17,1,normal
76,10,4,icmp_flood
84,92,3,scan
101,32,4,icmp_flood
166,54,1,scan
140,97,2,scan
4368,55,2,normal
2620,204,1,dos
4270,101,2,dos
116,27,4,icmp_flood
1765,27,3,normal
178,68,1,scan
75,19,4,icmp_flood
131,46,1,scan
66,13,2,normal
64,54,3,scan
1390,287,1,dos
167,51,3,scan
4739,48,1,normal
1301,183,3,dos
2428,100,1,dos
107,38,4,icmp_flood
83,26,4,icmp_flood
71,78,1,scan
165,93,3,scan
1610,16,3,normal
185,55,1,scan
73,13,2,normal
257,12,1,normal
65,83,3,scan
1474,196,1,dos
58,90,2,scan
139,55,1,scan
1938,213,1,dos
98,1,3,normal
3497,252,2,dos
86,93,1,scan
3412,189,1,dos
46,95,3,scan
4228,54,2,normal
189,51,1,scan
2278,33,1,normal
2050,291,3,dos
3870,160,2,dos
1146,3,1,normal
197,97,1,scan
690,13,1,normal
617,38,1,normal
136,64,3,scan
4933,36,2,normal
133,88,2,scan
47,75,3,scan
4846,164,1,dos
4895,194,3,dos
1642,221,2,dos
175,2,1,normal
180,59,1,scan
185,76,3,scan
543,47,3,normal
95,80,4,icmp_flood
4944,133,1,dos
185,81,2,scan
3237,124,1,dos
85,53,4,icmp_flood
2429,273,2,dos
140,99,1,scan
4819,151,1,dos
80,47,4,icmp_flood
94,78,4,icmp_flood
4777,184,3,dos
4980,287,3,dos
104,40,4,icmp_flood
4353,125,2,dos
115,77,4,icmp_flood
120,74,4,icmp_flood
4209,246,1,dos
85,35,4,icmp_flood
146,15,2,normal
1340,288,1,dos
3539,263,3,dos
4017,151,1,dos
178,82,2,scan
1065,46,1,normal
148,59,1,scan
2486,189,3,dos
111,100,3,scan
157,54,1,scan
98,38,4,icmp_flood
4724,56,2,normal
90,41,3,scan
90,26,4,icmp_flood
108,79,1,scan
117,12,4,icmp_flood
1803,54,2,normal
1464,115,1,dos
799,8,2,normal
84,17,4,icmp_flood
3372,190,2,dos
81,36,4,icmp_flood
56,12,2,normal
74,34,4,icmp_flood
98,24,4,icmp_flood
86,64,4,icmp_flood
164,58,3,scan
87,38,4,icmp_flood
44,87,3,scan
2809,45,3,normal
2836,260,3,dos
1387,254,2,dos
131,8,2,normal
684,36,3,normal
258,12,2,normal
154,96,1,scan
361,9,2,normal
577,29,2,normal
115,37,4,icmp_flood
4364,196,1,dos
3519,218,1,dos
1706,23,1,normal
111,50,4,icmp_flood
1152,19,1,normal
108,65,2,scan
84,64,4,icmp_flood
4662,12,1,normal
94,27,4,icmp_flood
4639,260,2,dos
131,10,1,normal
441,22,1,normal
105,54,4,icmp_flood
249,6,1,normal
90,16,4,icmp_flood
93,16,4,icmp_flood
85,78,4,icmp_flood
101,90,3,scan
3357,168,2,dos
106,74,1,scan
151,54,3,scan
3513,111,3,dos
100,19,4,icmp_flood
540,24,1,normal
103,65,1,scan
45,23,3,normal
566,24,2,normal
4483,117,2,dos
452,6,3,normal
91,60,4,icmp_flood
183,61,1,scan
54,51,2,scan
85,50,3,scan
959,4,2,normal
194,9,2,normal
80,41,4,icmp_flood
47,43,1,scan
714,46,3,normal
190,86,2,scan
94,32,4,icmp_flood
2721,7,3,normal
3747,224,2,dos
83,44,2,scan
77,62,4,icmp_flood
2936,151,2,dos
167,86,1,scan
2466,296,1,dos
126,53,2,scan
75,27,4,icmp_flood
83,60,4,icmp_flood
3275,162,2,dos
80,29,4,icmp_flood
103,78,4,icmp_flood
2058,29,2,normal
40,91,1,scan
144,94,1,scan
75,20,4,icmp_flood
89,56,4,icmp_flood
87,67,4,icmp_flood
179,48,2,scan
1859,228,3,dos
1848,177,3,dos
158,87,2,scan
87,28,4,icmp_flood
2548,34,2,normal
3423,211,2,dos
52,63,2,scan
40,20,2,normal
2326,264,2,dos
117,48,4,icmp_flood
3153,250,1,dos
101,64,4,icmp_flood
3855,182,3,dos
4120,224,1,dos
101,80,4,icmp_flood
43,51,1,scan
192,58,3,scan
3278,155,2,dos
156,14,1,normal
804,37,2,normal
1727,124,3,dos
996,26,1,normal
105,28,4,icmp_flood
2325,278,3,dos
4451,184,3,dos
97,12,1,normal
246,28,3,normal
2048,155,2,dos
160,7,1,normal
119,42,4,icmp_flood
1251,101,2,dos
4289,255,2,dos
68,79,3,scan
4315,158,1,dos
92,43,4,icmp_flood
73,49,1,scan
101,12,4,icmp_flood
107,25,4,icmp_flood
154,2,3,normal
3367,225,2,dos
112,61,4,icmp_flood
86,67,1,scan
95,11,4,icmp_flood
178,92,2,scan
965,4,2,normal
142,56,2,scan
140,77,1,scan
197,76,3,scan
78,46,4,icmp_flood
90,70,4,icmp_flood
109,54,4,icmp_flood
102,13,4,icmp_flood
4144,12,2,normal
91,46,4,icmp_flood
70,92,2,scan
114,42,4,icmp_flood
176,58,3,scan
4672,233,1,dos
80,50,4,icmp_flood
2676,179,1,dos
96,59,4,icmp_flood
1620,274,3,dos
4155,48,2,normal
2499,25,2,normal
92,61,3,scan
4475,274,2,dos
324,38,3,normal
103,10,4,icmp_flood
92,43,3,scan
4122,163,1,dos
110,26,4,icmp_flood
123,81,3,scan
260,16,1,normal
2672,152,3,dos
101,49,4,icmp_flood
132,75,3,scan
3385,147,1,dos
4807,189,3,dos
293,10,3,normal
2590,198,3,dos
541,32,1,normal
2015,30,3,normal
74,32,4,icmp_flood
85,62,4,icmp_flood
1455,180,1,dos
106,34,4,icmp_flood
674,3,2,normal
86,47,1,scan
97,41,4,icmp_flood
1794,299,2,dos
150,93,2,scan
104,26,4,icmp_flood
83,44,1,scan
96,55,4,icmp_flood
64,57,1,scan
56,69,2,scan
4764,272,1,dos
285,26,3,normal
179,58,2,scan
140,56,3,scan
107,64,4,icmp_flood
79,40,4,icmp_flood
4186,141,2,dos
404,7,2,normal
3650,175,2,dos
89,59,2,scan
1668,171,2,dos
1459,267,1,dos
117,13,1,normal
1009,17,3,normal
44,77,2,scan
2984,157,1,dos
1635,8,2,normal
3482,167,2,dos
4610,229,2,dos
2362,108,2,dos
2737,26,3,normal
72,78,3,scan
63,67,2,scan
91,62,2,scan
156,54,1,scan
92,22,1,normal
365,25,2,normal
51,72,1,scan
1253,271,1,dos
176,51,2,scan
45,3,3,normal
4684,257,2,dos
1382,170,3,dos
193,82,2,scan
199,99,2,scan
52,47,1,scan
278,15,2,normal
184,47,2,scan
76,28,4,icmp_flood
107,47,3,scan
47,46,1,scan
93,43,4,icmp_flood
1583,32,1,normal
75,66,4,icmp_flood
51,30,3,normal
88,68,3,scan
3761,114,3,dos
3246,176,2,dos
72,9,3,normal
68,94,3,scan
67,54,1,scan
112,27,4,icmp_flood
76,76,4,icmp_flood
88,20,4,icmp_flood
2800,114,1,dos
4612,199,1,dos
232,6,3,normal
81,73,1,scan
4694,100,1,dos
1867,293,1,dos
1581,156,2,dos
175,17,2,normal
2746,143,2,dos
117,56,4,icmp_flood
334,18,1,normal
71,43,1,scan
75,98,2,scan
84,53,4,icmp_flood
193,82,3,scan
64,13,1,normal
2645,195,3,dos
98,28,4,icmp_flood
2685,254,2,dos
174,88,1,scan
56,22,3,normal
196,56,3,scan
84,13,4,icmp_flood
113,46,4,icmp_flood
168,92,2,scan
262,12,1,normal
1188,39,3,normal
42,53,1,scan
198,79,2,scan
51,70,2,scan
79,52,4,icmp_flood
380,25,3,normal
187,91,2,scan
40,75,2,scan
123,97,1,scan
128,75,3,scan
4047,12,1,normal
87,37,4,icmp_flood
78,47,4,icmp_flood
78,46,4,icmp_flood
111,87,1,scan
3843,53,1,normal
264,24,1,normal
65,81,3,scan
112,28,4,icmp_flood
105,69,4,icmp_flood
1103,28,3,normal
1996,132,2,dos
2843,176,1,dos
165,59,1,scan
197,52,3,scan
137,88,2,scan
93,84,3,scan
3343,296,2,dos
115,77,4,icmp_flood
2476,233,2,dos
109,14,1,normal
99,56,4,icmp_flood
3127,175,3,dos
80,100,2,scan
538,39,3,normal
74,22,4,icmp_flood
551,43,2,normal
1521,261,2,dos
4799,172,3,dos
88,50,4,icmp_flood
89,50,4,icmp_flood
200,53,3,scan
54,85,3,scan
160,51,1,scan
4372,269,3,dos
2145,180,3,dos
113,74,4,icmp_flood
2346,145,2,dos
1421,55,3,normal
1027,18,3,normal
3569,257,1,dos
184,83,2,scan
93,62,4,icmp_flood
519,15,3,normal
4153,230,3,dos
3508,126,1,dos
68,21,3,normal
105,19,4,icmp_flood
1294,132,1,dos
119,22,4,icmp_flood
2105,161,2,dos
74,51,2,scan
3721,27,2,normal
2074,181,3,dos
3574,253,2,dos
1070,47,1,normal
152,10,3,normal
195,78,2,scan
2095,290,1,dos
141,68,2,scan
52,57,1,scan
93,11,4,icmp_flood
82,21,4,icmp_flood
40,97,2,scan
108,15,4,icmp_flood
1168,21,2,normal
96,61,4,icmp_flood
92,42,2,scan
96,30,4,icmp_flood
3279,39,1,normal
4701,108,1,dos
107,40,4,icmp_flood
3609,297,2,dos
242,1,2,normal
1385,6,2,normal
185,61,1,scan
176,84,3,scan
116,59,4,icmp_flood
116,71,4,icmp_flood
825,42,2,normal
127,42,2,scan
175,87,1,scan
157,74,2,scan
89,59,2,scan
96,67,2,scan
4808,5,1,normal
178,51,3,scan
68,7,2,normal
2256,21,3,normal
2639,107,2,dos
4728,230,1,dos
218,23,3,normal
114,66,4,icmp_flood
2229,135,2,dos
124,72,2,scan
75,39,4,icmp_flood
2552,247,3,dos
120,95,2,scan
4563,243,1,dos
96,33,4,icmp_flood
2755,291,2,dos
119,39,4,icmp_flood
119,14,4,icmp_flood
104,78,4,icmp_flood
3016,136,3,dos
1837,237,3,dos
628,16,2,normal
94,22,4,icmp_flood
863,31,1,normal
110,13,4,icmp_flood
542,4,3,normal
780,29,3,normal
117,28,4,icmp_flood
4075,208,1,dos
93,100,3,scan
165,58,3,scan
721,40,3,normal
147,70,2,scan
119,12,4,icmp_flood
117,16,4,icmp_flood
4242,288,3,dos
3188,189,2,dos
93,26,4,icmp_flood
118,80,3,scan
98,11,4,icmp_flood
1541,215,3,dos
74,50,2,scan
116,13,4,icmp_flood
136,51,2,scan
3936,179,1,dos
84,65,3,scan
128,48,3,scan
4186,216,2,dos
2955,258,3,dos
87,52,4,icmp_flood
81,61,4,icmp_flood
92,43,4,icmp_flood
2713,244,2,dos
162,82,3,scan
4967,6,1,normal
4985,174,1,dos
42,78,1,scan
113,33,4,icmp_flood
95,11,4,icmp_flood
234,27,1,normal
89,30,4,icmp_flood
402,12,1,normal
195,53,3,scan
2411,132,2,dos
86,20,4,icmp_flood
113,66,4,icmp_flood
3152,280,1,dos
4161,103,3,dos
65,68,2,scan
147,28,3,normal
78,64,4,icmp_flood
4011,216,1,dos
112,12,4,icmp_flood
70,56,1,scan
81,18,4,icmp_flood
41,21,1,normal
193,80,1,scan
90,18,1,normal
66,76,1,scan
247,10,2,normal
111,80,4,icmp_flood
4996,240,1,dos
83,64,4,icmp_flood
311,26,2,normal
2294,136,1,dos
64,67,2,scan
3582,37,3,normal
827,46,2,normal
84,49,2,scan
88,20,2,normal
102,54,3,scan
89,49,3,scan
748,36,2,normal
55,79,2,scan
243,25,2,normal
2821,142,2,dos
1475,297,1,dos
116,13,4,icmp_flood
1023,4,2,normal
113,74,4,icmp_flood
151,14,2,normal
110,70,4,icmp_flood
3223,188,3,dos
85,90,1,scan
108,59,4,icmp_flood
134,46,1,scan
2641,292,1,dos
1338,193,1,dos
114,73,4,icmp_flood
104,41,4,icmp_flood
82,43,4,icmp_flood
131,77,1,scan
4323,224,2,dos
169,81,2,scan
79,44,4,icmp_flood
4627,210,1,dos
97,73,4,icmp_flood
668,4,2,normal
76,91,3,scan
1215,246,2,dos
103,46,4,icmp_flood
116,80,4,icmp_flood
45,87,3,scan
1411,170,1,dos
102,63,4,icmp_flood
2509,188,2,dos
75,46,3,scan
4515,224,1,dos
116,48,4,icmp_flood
116,66,4,icmp_flood
833,32,3,normal
2170,152,2,dos
42,76,3,scan
3314,136,3,dos
1953,113,1,dos
1478,110,1,dos
103,48,4,icmp_flood
106,53,4,icmp_flood
3876,223,3,dos
1517,251,1,dos
83,72,4,icmp_flood
60,48,2,scan
250,1,1,normal
3317,268,3,dos
87,17,2,normal
95,32,4,icmp_flood
4926,146,3,dos
143,29,2,normal
1471,141,1,dos
135,95,1,scan
197,58,3,scan
4725,1,3,normal
248,10,2,normal
2973,186,1,dos
2379,170,2,dos
633,36,1,normal
2998,257,2,dos
1776,163,1,dos
68,98,1,scan
213,22,3,normal
84,16,4,icmp_flood
1396,180,1,dos
4096,140,1,dos
165,97,2,scan
99,78,4,icmp_flood
2367,179,2,dos
4345,160,2,dos
152,3,3,normal
2321,243,2,dos
1977,19,2,normal
44,91,1,scan
163,28,2,normal
3048,289,1,dos
110,19,4,icmp_flood
261,5,2,normal
2694,128,1,dos
43,14,1,normal
118,36,4,icmp_flood
68,96,3,scan
1175,43,1,normal
133,26,1,normal
98,56,4,icmp_flood
4797,31,2,normal
111,75,4,icmp_flood
89,34,4,icmp_flood
88,57,4,icmp_flood
85,35,4,icmp_flood
134,53,1,scan
125,9,1,normal
74,56,4,icmp_flood
241,22,1,normal
146,21,2,normal
200,6,2,normal
108,32,4,icmp_flood
4343,226,2,dos
87,41,1,scan
76,62,4,icmp_flood
176,51,3,scan
3085,258,2,dos
2339,148,2,dos
417,26,1,normal
745,43,1,normal
4507,126,1,dos
957,20,2,normal
102,39,4,icmp_flood
82,75,3,scan
89,71,4,icmp_flood
98,86,3,scan
1282,296,1,dos
868,35,1,normal
337,13,1,normal
1115,31,1,normal
3746,227,3,dos
688,21,2,normal
208,22,1,normal
99,51,4,icmp_flood
75,78,4,icmp_flood
61,99,1,scan
4408,247,1,dos
2853,105,1,dos
283,22,3,normal
120,16,4,icmp_flood
269,5,2,normal
387,1,2,normal
115,73,4,icmp_flood
1926,281,2,dos
1542,295,3,dos
74,27,4,icmp_flood
134,98,1,scan
81,37,4,icmp_flood
47,49,3,scan
167,65,2,scan
133,77,2,scan
221,26,2,normal
4649,154,1,dos
230,30,2,normal
98,50,4,icmp_flood
112,23,4,icmp_flood
51,92,1,scan
111,77,4,icmp_flood
4661,288,2,dos
4944,255,3,dos
1334,202,3,dos
117,30,4,icmp_flood
158,68,1,scan
784,16,1,normal
103,42,4,icmp_flood
187,44,2,scan
86,57,4,icmp_flood
61,92,2,scan
75,43,4,icmp_flood
79,37,4,icmp_flood
125,70,3,scan
181,16,1,normal
131,69,3,scan
130,67,1,scan
4703,143,2,dos
109,27,4,icmp_flood
147,41,3,scan
90,44,2,scan
287,5,1,normal
175,66,2,scan
2302,121,3,dos
94,3,1,normal
325,48,2,normal
4331,162,2,dos
3591,42,1,normal
2339,255,3,dos
79,47,4,icmp_flood
3708,256,1,dos
2914,221,1,dos
4594,178,1,dos
173,73,3,scan
164,60,2,scan
3275,263,2,dos
4531,163,2,dos
199,89,3,scan
153,83,3,scan
4878,158,3,dos
3296,297,2,dos
66,65,2,scan
1661,234,3,dos
2266,256,3,dos
99,30,4,icmp_flood
90,56,4,icmp_flood
240,7,2,normal
4860,221,2,dos
85,62,4,icmp_flood
116,42,4,icmp_flood
3714,253,3,dos
266,30,2,normal
149,65,3,scan
2876,144,3,dos
2234,56,2,normal
2449,289,3,dos
78,94,3,scan
951,45,1,normal
924,42,1,normal
74,69,3,scan
75,26,4,icmp_flood
673,11,2,normal
2161,196,3,dos
112,22,4,icmp_flood
89,29,4,icmp_flood
140,63,2,scan
190,26,1,normal
96,53,4,icmp_flood
