protocol_type,src_bytes,dst_bytes,failed_logins,count,label
tcp,6009,319,0,91,attack
tcp,449,416,0,23,normal
udp,2580,781,0,80,attack
udp,1683,472,0,65,attack
udp,3153,238,0,132,attack
udp,2434,495,0,48,attack
tcp,1326,213,0,30,attack
udp,58,65,0,167,attack
udp,3865,489,0,100,attack
tcp,3887,411,0,90,attack
udp,48,80,0,2,normal
tcp,2742,485,0,50,attack
tcp,6893,100,0,120,attack
udp,241,303,0,4,normal
tcp,6375,242,0,94,attack
udp,264,263,0,23,normal
tcp,298,73,0,8,normal
tcp,2222,302,0,50,attack
tcp,87,204,0,2,normal
udp,41,321,0,6,normal
udp,3434,477,0,97,attack
tcp,128,259,0,9,normal
udp,156,94,0,109,attack
tcp,147,334,0,10,normal
udp,112,195,0,162,attack
tcp,4150,237,0,91,attack
tcp,220,338,0,6,normal
udp,3513,468,0,117,attack
tcp,495,596,0,10,normal
tcp,107,93,0,197,attack
tcp,242,584,0,10,normal
tcp,373,388,0,22,normal
tcp,221,456,0,22,normal
tcp,1326,343,0,74,attack
tcp,2743,708,0,79,attack
udp,175,140,0,136,attack
tcp,5149,208,0,99,attack
tcp,54,105,0,136,attack
tcp,1825,481,0,67,attack
tcp,7784,428,0,107,attack
tcp,2854,522,0,51,attack
tcp,6253,255,0,107,attack
udp,7262,371,0,139,attack
udp,3212,359,0,88,attack
udp,166,105,0,196,attack
tcp,164,272,0,3,normal
tcp,160,152,0,119,attack
udp,369,628,0,23,normal
udp,4155,123,0,99,attack
tcp,187,72,0,198,attack
udp,40,41,0,6,normal
tcp,487,547,0,15,normal
udp,2899,397,0,39,attack
tcp,111,100,0,169,attack
tcp,5817,435,0,119,attack
tcp,7783,362,0,99,attack
udp,1031,442,0,37,attack
udp,677,443,0,26,normal
udp,2303,691,0,35,attack
tcp,2492,575,0,52,attack
tcp,90,381,0,8,normal
udp,415,242,0,16,normal
tcp,3812,488,0,88,attack
tcp,385,310,0,25,normal
tcp,299,112,0,8,normal
tcp,3024,223,0,92,attack
tcp,2406,751,0,45,attack
tcp,627,344,0,18,normal
udp,7799,485,0,102,attack
tcp,312,438,0,23,normal
udp,2021,745,0,43,attack
udp,190,57,0,110,attack
udp,670,287,0,25,normal
udp,507,475,0,14,normal
udp,358,669,0,22,normal
udp,109,201,0,7,normal
udp,7073,183,0,137,attack
udp,55,193,0,189,attack
tcp,363,575,0,10,normal
udp,127,235,0,4,normal
tcp,1605,415,0,40,attack
tcp,226,371,0,26,normal
tcp,100,178,0,133,attack
udp,278,424,0,17,normal
tcp,208,75,0,4,normal
udp,3420,437,0,93,attack
tcp,6798,168,0,103,attack
tcp,70,81,0,187,attack
udp,593,560,0,30,normal
udp,2087,560,0,51,attack
udp,176,332,0,5,normal
tcp,110,177,0,161,attack
tcp,78,194,0,153,attack
udp,236,150,0,10,normal
tcp,83,125,0,197,attack
tcp,281,506,0,20,normal
udp,2558,556,0,45,attack
tcp,1895,692,0,80,attack
udp,7626,153,0,141,attack
udp,189,118,0,131,attack
udp,76,127,0,101,attack
tcp,1539,476,0,78,attack
udp,1184,573,0,78,attack
tcp,105,62,0,150,attack
udp,353,675,0,28,normal
udp,3204,161,0,105,attack
tcp,85,190,0,132,attack
udp,7289,433,0,142,attack
tcp,272,58,0,6,normal
tcp,4150,287,0,119,attack
tcp,60,84,0,135,attack
udp,4445,169,0,131,attack
udp,247,351,0,9,normal
tcp,97,336,0,8,normal
tcp,104,114,0,181,attack
udp,200,304,0,6,normal
tcp,407,336,0,20,normal
udp,300,280,0,2,normal
udp,6409,216,0,115,attack
udp,4378,342,0,148,attack
udp,402,499,0,17,normal
tcp,191,259,0,1,normal
tcp,1028,799,0,30,attack
udp,181,244,0,4,normal
tcp,2284,460,0,44,attack
udp,249,132,0,6,normal
tcp,2674,586,0,49,attack
tcp,271,529,0,10,normal
tcp,172,146,0,126,attack
tcp,7196,493,0,130,attack
tcp,191,184,0,192,attack
udp,217,227,0,9,normal
udp,1392,497,0,78,attack
tcp,175,197,0,163,attack
tcp,3484,470,0,118,attack
udp,150,146,0,1,normal
udp,1298,434,0,76,attack
tcp,501,320,0,17,normal
udp,256,279,0,24,normal
tcp,60,85,0,10,normal
udp,7302,465,0,134,attack
udp,4649,425,0,131,attack
udp,106,116,0,182,attack
udp,7368,489,0,80,attack
tcp,253,627,0,11,normal
udp,1197,646,0,37,attack
tcp,246,313,0,5,normal
udp,71,50,0,165,attack
tcp,164,53,0,108,attack
udp,7972,273,0,97,attack
udp,2279,233,0,42,attack
tcp,50,395,0,6,normal
tcp,121,70,0,118,attack
tcp,161,322,0,10,normal
udp,7317,420,0,139,attack
tcp,5049,454,0,87,attack
tcp,86,93,0,115,attack
udp,6688,149,0,84,attack
tcp,124,56,0,1,normal
tcp,6735,309,0,102,attack
tcp,217,85,0,1,normal
tcp,1298,554,0,37,attack
udp,1422,555,0,77,attack
udp,7865,152,0,106,attack
tcp,1699,704,0,63,attack
udp,445,253,0,18,normal
udp,2115,403,0,67,attack
tcp,564,391,0,30,normal
udp,3623,274,0,130,attack
tcp,108,200,0,136,attack
tcp,266,325,0,8,normal
udp,92,52,0,168,attack
tcp,600,502,0,26,normal
tcp,185,75,0,4,normal
udp,1579,773,0,55,attack
udp,640,466,0,27,normal
tcp,686,584,0,18,normal
udp,647,394,0,22,normal
tcp,7418,121,0,126,attack
tcp,7829,484,0,106,attack
udp,6603,439,0,147,attack
udp,2096,629,0,45,attack
udp,594,215,0,21,normal
tcp,185,90,0,168,attack
tcp,575,265,0,13,normal
tcp,107,126,0,168,attack
tcp,382,461,0,14,normal
tcp,239,347,0,10,normal
udp,1112,585,0,59,attack
udp,2595,347,0,30,attack
tcp,1388,598,0,69,attack
udp,74,86,0,126,attack
tcp,274,336,0,3,normal
tcp,2054,745,0,50,attack
udp,464,565,0,28,normal
udp,590,616,0,13,normal
udp,165,64,0,108,attack
tcp,163,89,0,173,attack
udp,4587,213,0,126,attack
tcp,1917,563,0,65,attack
udp,1214,460,0,41,attack
udp,6493,335,0,105,attack
udp,280,92,0,1,normal
tcp,4236,138,0,80,attack
tcp,680,516,0,20,normal
tcp,1971,769,0,54,attack
tcp,485,427,0,19,normal
tcp,149,194,0,131,attack
udp,4086,406,0,116,attack
tcp,4736,168,0,149,attack
tcp,288,394,0,4,normal
tcp,162,124,0,116,attack
udp,200,185,0,189,attack
tcp,2799,329,0,31,attack
tcp,616,363,0,10,normal
udp,503,448,0,19,normal
tcp,449,548,0,13,normal
udp,177,126,0,151,attack
udp,97,72,0,1,normal
tcp,303,224,0,11,normal
udp,78,139,0,197,attack
tcp,4058,259,0,111,attack
udp,5474,325,0,134,attack
tcp,216,255,0,10,normal
tcp,111,106,0,167,attack
tcp,138,85,0,194,attack
udp,143,93,0,125,attack
udp,2717,779,0,62,attack
udp,179,145,0,182,attack
tcp,3180,144,0,121,attack
udp,212,295,0,2,normal
tcp,77,182,0,144,attack
udp,299,365,0,22,normal
udp,111,152,0,3,normal
udp,135,53,0,131,attack
tcp,87,67,0,132,attack
udp,96,291,0,9,normal
tcp,4219,145,0,82,attack
tcp,5972,239,0,111,attack
udp,315,541,0,28,normal
tcp,2970,274,0,46,attack
tcp,607,687,0,27,normal
udp,185,138,0,121,attack
udp,224,90,0,1,normal
tcp,316,282,0,19,normal
tcp,2458,399,0,64,attack
tcp,3622,313,0,93,attack
udp,3253,484,0,98,attack
udp,613,654,0,23,normal
tcp,3184,128,0,85,attack
udp,2173,678,0,74,attack
tcp,248,257,0,22,normal
tcp,480,460,0,27,normal
udp,2007,288,0,56,attack
tcp,547,694,0,24,normal
tcp,2651,242,0,35,attack
udp,650,559,0,11,normal
udp,1558,797,0,30,attack
udp,46,244,0,3,normal
tcp,1191,549,0,80,attack
udp,292,428,0,16,normal
tcp,7034,250,0,107,attack
tcp,84,338,0,4,normal
tcp,194,153,0,2,normal
udp,492,402,0,16,normal
udp,7677,426,0,149,attack
tcp,910,625,0,80,attack
tcp,302,547,0,19,normal
udp,102,314,0,2,normal
tcp,84,132,0,158,attack
udp,63,245,0,3,normal
tcp,6946,479,0,150,attack
udp,1679,486,0,63,attack
udp,7148,236,0,94,attack
udp,1820,514,0,39,attack
tcp,123,62,0,186,attack
udp,214,198,0,4,normal
tcp,237,563,0,12,normal
tcp,486,361,0,19,normal
udp,263,212,0,8,normal
udp,419,232,0,16,normal
udp,1631,336,0,64,attack
udp,263,125,0,3,normal
tcp,89,149,0,1,normal
tcp,2577,440,0,69,attack
tcp,63,56,0,178,attack
udp,7848,342,0,98,attack
udp,1655,382,0,50,attack
udp,4582,158,0,96,attack
udp,1001,627,0,44,attack
udp,1283,347,0,45,attack
udp,272,277,0,5,normal
tcp,1051,723,0,50,attack
tcp,55,107,0,164,attack
udp,226,182,0,1,normal
tcp,114,135,0,168,attack
tcp,257,340,0,5,normal
udp,247,266,0,10,normal
udp,112,81,0,110,attack
tcp,343,209,0,22,normal
udp,7242,130,0,119,attack
udp,4347,223,0,82,attack
tcp,2740,771,0,31,attack
tcp,127,67,0,125,attack
tcp,1017,619,0,73,attack
tcp,85,161,0,123,attack
tcp,3978,330,0,124,attack
tcp,662,579,0,14,normal
udp,166,40,0,10,normal
tcp,1811,262,0,69,attack
tcp,529,257,0,18,normal
udp,295,273,0,21,normal
tcp,184,87,0,138,attack
tcp,451,327,0,16,normal
udp,3807,213,0,120,attack
udp,192,55,0,156,attack
tcp,67,192,0,8,normal
tcp,266,384,0,23,normal
tcp,1282,424,0,71,attack
tcp,404,559,0,23,normal
tcp,1146,402,0,50,attack
udp,292,385,0,11,normal
tcp,2154,572,0,60,attack
udp,1295,458,0,60,attack
udp,155,191,0,106,attack
tcp,2366,448,0,33,attack
udp,7056,450,0,95,attack
udp,6380,116,0,140,attack
tcp,2042,686,0,49,attack
tcp,183,210,0,10,normal
udp,296,266,0,7,normal
tcp,60,296,0,5,normal
udp,73,116,0,3,normal
udp,7240,332,0,135,attack
udp,1391,701,0,75,attack
tcp,186,123,0,194,attack
tcp,55,380,0,3,normal
udp,641,290,0,19,normal
tcp,265,677,0,28,normal
udp,1552,249,0,35,attack
tcp,508,529,0,16,normal
udp,427,355,0,19,normal
tcp,119,181,0,140,attack
tcp,178,238,0,9,normal
udp,162,102,0,191,attack
udp,7840,345,0,118,attack
tcp,146,155,0,147,attack
udp,214,180,0,10,normal
udp,265,185,0,9,normal
udp,5333,278,0,144,attack
tcp,4193,447,0,138,attack
udp,2973,572,0,76,attack
tcp,2403,402,0,46,attack
udp,108,236,0,8,normal
tcp,2115,737,0,40,attack
tcp,114,158,0,121,attack
udp,4956,477,0,137,attack
tcp,161,51,0,6,normal
tcp,3050,429,0,134,attack
tcp,4562,487,0,87,attack
udp,447,434,0,20,normal
tcp,131,172,0,194,attack
tcp,217,330,0,9,normal
udp,262,356,0,12,normal
tcp,2644,673,0,55,attack
udp,1978,471,0,56,attack
udp,581,521,0,16,normal
tcp,107,304,0,9,normal
udp,53,175,0,7,normal
tcp,7525,455,0,94,attack
tcp,4421,304,0,87,attack
tcp,6127,354,0,83,attack
udp,519,336,0,10,normal
tcp,286,309,0,7,normal
udp,65,199,0,176,attack
udp,301,660,0,18,normal
tcp,2004,722,0,52,attack
tcp,345,445,0,18,normal
udp,177,178,0,101,attack
tcp,81,312,0,10,normal
tcp,3476,107,0,90,attack
tcp,620,534,0,19,normal
udp,411,560,0,24,normal
udp,173,115,0,188,attack
tcp,3842,204,0,105,attack
tcp,511,598,0,17,normal
tcp,6307,486,0,130,attack
tcp,1628,598,0,51,attack
tcp,139,132,0,157,attack
udp,7800,277,0,118,attack
udp,59,391,0,2,normal
tcp,834,380,0,77,attack
udp,579,505,0,26,normal
udp,82,97,0,190,attack
tcp,3610,352,0,84,attack
udp,5151,118,0,107,attack
tcp,415,604,0,23,normal
udp,78,192,0,113,attack
udp,169,73,0,133,attack
udp,353,647,0,25,normal
tcp,2013,519,0,48,attack
udp,250,353,0,2,normal
tcp,6898,167,0,115,attack
udp,3423,263,0,142,attack
tcp,76,69,0,199,attack
tcp,6513,491,0,120,attack
tcp,2109,423,0,48,attack
tcp,1321,452,0,37,attack
udp,85,194,0,113,attack
udp,498,685,0,18,normal
udp,186,196,0,2,normal
udp,158,53,0,133,attack
tcp,91,368,0,7,normal
udp,4462,429,0,99,attack
tcp,3471,193,0,118,attack
udp,3993,144,0,133,attack
tcp,2127,361,0,30,attack
tcp,531,635,0,11,normal
tcp,871,582,0,60,attack
udp,434,296,0,12,normal
tcp,90,167,0,10,normal
tcp,606,233,0,13,normal
tcp,73,84,0,155,attack
udp,651,497,0,29,normal
tcp,509,344,0,11,normal
tcp,61,400,0,10,normal
udp,143,193,0,165,attack
tcp,145,103,0,173,attack
udp,154,67,0,110,attack
tcp,154,101,0,10,normal
udp,548,206,0,22,normal
udp,1996,248,0,36,attack
udp,2168,594,0,60,attack
tcp,107,88,0,119,attack
udp,626,531,0,13,normal
tcp,82,361,0,3,normal
tcp,122,163,0,5,normal
udp,156,167,0,8,normal
tcp,885,632,0,63,attack
udp,127,224,0,10,normal
tcp,2594,601,0,78,attack
udp,166,107,0,153,attack
tcp,177,123,0,185,attack
udp,165,134,0,198,attack
tcp,5802,288,0,141,attack
tcp,275,209,0,8,normal
udp,120,70,0,111,attack
tcp,5929,297,0,141,attack
udp,664,650,0,15,normal
tcp,87,79,0,152,attack
udp,41,351,0,2,normal
udp,1381,515,0,67,attack
tcp,295,57,0,1,normal
udp,1541,593,0,38,attack
udp,1375,768,0,70,attack
tcp,151,116,0,129,attack
udp,3820,251,0,126,attack
udp,75,112,0,183,attack
tcp,89,59,0,185,attack
udp,278,244,0,17,normal
udp,2304,723,0,54,attack
tcp,300,362,0,27,normal
tcp,6979,334,0,145,attack
udp,6206,113,0,91,attack
udp,1333,476,0,72,attack
udp,324,475,0,24,normal
udp,1708,471,0,79,attack
tcp,2140,499,0,36,attack
tcp,3031,395,0,147,attack
tcp,294,247,0,7,normal
tcp,2947,592,0,45,attack
udp,2881,568,0,34,attack
tcp,2185,522,0,40,attack
tcp,4748,359,0,93,attack
udp,630,700,0,17,normal
tcp,4852,163,0,116,attack
udp,515,221,0,27,normal
tcp,2573,791,0,46,attack
tcp,7439,174,0,93,attack
udp,225,275,0,2,normal
udp,98,173,0,3,normal
tcp,5007,392,0,133,attack
tcp,150,65,0,7,normal
tcp,274,117,0,7,normal
udp,2817,620,0,44,attack
tcp,291,292,0,8,normal
udp,7098,444,0,101,attack
udp,149,89,0,7,normal
tcp,5033,473,0,111,attack
udp,6181,355,0,102,attack
tcp,453,527,0,26,normal
udp,188,189,0,137,attack
udp,288,604,0,21,normal
udp,432,489,0,26,normal
tcp,1079,545,0,32,attack
udp,6173,394,0,134,attack
udp,54,252,0,6,normal
tcp,50,119,0,189,attack
tcp,68,195,0,129,attack
udp,276,557,0,19,normal
udp,104,116,0,126,attack
tcp,616,490,0,29,normal
tcp,1880,331,0,54,attack
tcp,5374,445,0,88,attack
tcp,140,184,0,142,attack
tcp,130,366,0,9,normal
udp,206,541,0,18,normal
tcp,1948,774,0,56,attack
udp,7847,275,0,132,attack
tcp,4931,470,0,106,attack
tcp,78,141,0,103,attack
udp,320,323,0,28,normal
tcp,6064,130,0,109,attack
udp,6828,142,0,103,attack
tcp,555,700,0,26,normal
tcp,3394,445,0,144,attack
udp,284,293,0,19,normal
tcp,1699,778,0,35,attack
udp,6737,350,0,150,attack
udp,4589,337,0,134,attack
tcp,650,348,0,11,normal
udp,6464,491,0,125,attack
udp,523,366,0,30,normal
tcp,262,122,0,6,normal
udp,169,186,0,4,normal
tcp,131,325,0,10,normal
udp,499,296,0,27,normal
udp,5255,362,0,118,attack
udp,51,101,0,8,normal
udp,141,104,0,165,attack
udp,80,49,0,2,normal
tcp,1782,613,0,57,attack
tcp,4888,290,0,145,attack
tcp,170,267,0,6,normal
udp,229,474,0,15,normal
udp,278,196,0,5,normal
tcp,1516,226,0,40,attack
udp,7383,385,0,133,attack
tcp,276,384,0,1,normal
udp,544,246,0,14,normal
udp,82,166,0,195,attack
udp,4807,491,0,125,attack
udp,7772,465,0,121,attack
udp,97,153,0,171,attack
udp,574,234,0,12,normal
tcp,642,676,0,21,normal
udp,256,305,0,26,normal
udp,82,117,0,1,normal
udp,506,636,0,25,normal
udp,2278,360,0,79,attack
tcp,2935,550,0,71,attack
tcp,556,574,0,21,normal
udp,605,348,0,12,normal
tcp,7625,461,0,80,attack
tcp,2936,677,0,60,attack
tcp,5924,111,0,109,attack
tcp,167,134,0,133,attack
udp,204,217,0,3,normal
udp,643,433,0,21,normal
tcp,172,51,0,196,attack
tcp,46,83,0,9,normal
udp,2832,719,0,42,attack
tcp,160,149,0,196,attack
udp,2144,559,0,73,attack
tcp,119,353,0,10,normal
udp,279,503,0,29,normal
tcp,619,447,0,25,normal
tcp,152,99,0,200,attack
udp,307,546,0,19,normal
udp,152,163,0,141,attack
tcp,2983,742,0,59,attack
tcp,330,556,0,20,normal
tcp,462,584,0,24,normal
udp,84,62,0,175,attack
udp,53,124,0,177,attack
tcp,171,125,0,162,attack
udp,251,393,0,1,normal
tcp,2822,223,0,60,attack
udp,6701,344,0,132,attack
udp,7620,178,0,150,attack
tcp,3438,274,0,146,attack
tcp,290,216,0,2,normal
udp,151,153,0,179,attack
tcp,285,360,0,6,normal
udp,294,370,0,6,normal
tcp,160,399,0,2,normal
udp,5184,234,0,128,attack
tcp,4222,162,0,134,attack
tcp,108,153,0,162,attack
udp,217,327,0,9,normal
udp,161,52,0,159,attack
udp,3327,149,0,86,attack
tcp,162,62,0,7,normal
udp,188,161,0,115,attack
udp,1780,606,0,44,attack
tcp,3400,123,0,118,attack
udp,334,599,0,12,normal
udp,6756,339,0,136,attack
udp,1935,530,0,63,attack
udp,272,488,0,19,normal
tcp,1841,707,0,64,attack
udp,1316,230,0,39,attack
tcp,508,262,0,15,normal
tcp,687,496,0,17,normal
udp,6755,104,0,146,attack
tcp,476,659,0,30,normal
udp,75,90,0,8,normal
tcp,5108,298,0,119,attack
udp,1169,615,0,61,attack
udp,470,338,0,30,normal
tcp,358,424,0,28,normal
tcp,278,265,0,1,normal
tcp,3991,353,0,115,attack
udp,3496,264,0,90,attack
tcp,71,102,0,189,attack
tcp,329,420,0,20,normal
tcp,407,250,0,11,normal
tcp,138,365,0,7,normal
udp,460,471,0,25,normal
udp,3924,429,0,141,attack
udp,136,122,0,110,attack
tcp,146,74,0,188,attack
tcp,6464,237,0,142,attack
tcp,2796,698,0,54,attack
tcp,4926,288,0,133,attack
tcp,197,135,0,165,attack
udp,397,206,0,22,normal
udp,5310,205,0,90,attack
udp,205,215,0,2,normal
udp,77,65,0,148,attack
udp,221,587,0,16,normal
udp,1087,706,0,72,attack
udp,123,136,0,115,attack
udp,544,525,0,17,normal
udp,4523,468,0,103,attack
tcp,93,69,0,138,attack
tcp,153,53,0,6,normal
tcp,608,488,0,19,normal
tcp,498,214,0,19,normal
udp,135,50,0,184,attack
tcp,190,190,0,137,attack
udp,181,74,0,4,normal
udp,2670,705,0,79,attack
udp,1273,343,0,60,attack
udp,87,180,0,110,attack
udp,4252,318,0,91,attack
tcp,68,164,0,163,attack
tcp,351,312,0,15,normal
tcp,105,54,0,135,attack
tcp,227,620,0,20,normal
udp,169,112,0,130,attack
udp,7000,341,0,105,attack
udp,6880,116,0,147,attack
tcp,2206,662,0,77,attack
udp,601,280,0,29,normal
udp,85,246,0,8,normal
tcp,7877,202,0,121,attack
udp,221,234,0,6,normal
tcp,209,194,0,7,normal
tcp,1397,457,0,50,attack
tcp,73,375,0,2,normal
tcp,7918,384,0,127,attack
tcp,168,49,0,6,normal
tcp,128,154,0,176,attack
udp,187,122,0,160,attack
tcp,3243,397,0,80,attack
tcp,693,567,0,12,normal
udp,6212,138,0,120,attack
udp,592,541,0,18,normal
udp,3042,322,0,143,attack
tcp,167,47,0,2,normal
tcp,207,224,0,7,normal
udp,159,176,0,164,attack
udp,3530,248,0,118,attack
udp,158,174,0,181,attack
udp,653,312,0,11,normal
tcp,2214,506,0,49,attack
tcp,186,261,0,4,normal
tcp,81,61,0,124,attack
tcp,194,393,0,9,normal
udp,606,324,0,24,normal
udp,2219,463,0,76,attack
udp,954,790,0,71,attack
tcp,69,95,0,146,attack
udp,239,392,0,21,normal
udp,563,454,0,25,normal
udp,90,62,0,172,attack
udp,216,160,0,9,normal
udp,59,199,0,102,attack
udp,667,469,0,24,normal
udp,122,372,0,5,normal
tcp,195,105,0,10,normal
tcp,672,447,0,15,normal
udp,52,128,0,10,normal
udp,3508,252,0,146,attack
udp,59,383,0,4,normal
tcp,2933,512,0,64,attack
tcp,113,46,0,5,normal
tcp,122,119,0,150,attack
udp,2412,308,0,38,attack
tcp,64,369,0,2,normal
udp,193,79,0,3,normal
udp,49,44,0,7,normal
udp,2456,321,0,50,attack
tcp,255,544,0,10,normal
tcp,4784,246,0,138,attack
udp,89,122,0,107,attack
udp,7798,138,0,116,attack
tcp,185,189,0,189,attack
tcp,3215,328,0,148,attack
tcp,132,102,0,155,attack
udp,658,200,0,13,normal
tcp,197,73,0,122,attack
tcp,641,520,0,16,normal
tcp,642,350,0,24,normal
tcp,7404,447,0,139,attack
tcp,1203,554,0,74,attack
udp,389,623,0,19,normal
tcp,915,236,0,47,attack
udp,4990,425,0,134,attack
udp,2050,621,0,50,attack
tcp,3281,467,0,138,attack
udp,2661,276,0,47,attack
tcp,533,246,0,17,normal
udp,327,647,0,17,normal
tcp,120,194,0,169,attack
udp,7840,197,0,86,attack
udp,556,312,0,25,normal
tcp,140,382,0,4,normal
tcp,5217,233,0,90,attack
udp,229,396,0,4,normal
udp,183,52,0,135,attack
udp,3002,280,0,114,attack
udp,154,88,0,169,attack
udp,124,191,0,118,attack
udp,428,221,0,12,normal
udp,140,107,0,186,attack
udp,463,388,0,20,normal
udp,1187,744,0,37,attack
udp,2152,303,0,44,attack
udp,196,103,0,138,attack
tcp,155,175,0,129,attack
udp,659,321,0,23,normal
tcp,2269,673,0,39,attack
udp,2510,241,0,36,attack
udp,88,94,0,2,normal
udp,95,174,0,118,attack
udp,3270,273,0,124,attack
tcp,214,67,0,10,normal
udp,2709,304,0,65,attack
tcp,54,87,0,105,attack
udp,3227,479,0,90,attack
udp,5379,273,0,133,attack
tcp,2769,781,0,64,attack
tcp,556,644,0,26,normal
tcp,7318,193,0,107,attack
udp,2131,299,0,67,attack
tcp,173,51,0,139,attack
tcp,7652,151,0,100,attack
tcp,1673,728,0,31,attack
tcp,3033,127,0,116,attack
tcp,155,130,0,166,attack
udp,4501,274,0,102,attack
udp,499,562,0,22,normal
udp,207,156,0,4,normal
udp,77,71,0,136,attack
udp,3637,258,0,90,attack
udp,200,176,0,127,attack
tcp,87,58,0,147,attack
tcp,96,150,0,123,attack
tcp,1229,665,0,47,attack
tcp,642,247,0,16,normal
tcp,284,209,0,29,normal
tcp,536,308,0,14,normal
tcp,407,699,0,16,normal
tcp,196,343,0,5,normal
tcp,145,247,0,1,normal
udp,558,363,0,29,normal
tcp,185,107,0,170,attack
udp,2168,721,0,70,attack
udp,162,78,0,131,attack
udp,583,245,0,11,normal
udp,883,661,0,48,attack
tcp,53,218,0,7,normal
udp,3334,234,0,118,attack
udp,5156,269,0,146,attack
udp,68,98,0,108,attack
tcp,67,124,0,110,attack
udp,168,377,0,7,normal
udp,244,184,0,3,normal
